chamado_id,cliente_id,data_abertura,data_fechamento,status,prioridade,categoria,descricao,resolucao
26,49,2024-01-17,2024-01-23,Aberto,Baixa,Comercial,Interesse em serviços de cloud para empresa,
27,26,2024-04-08,2024-04-12,Aberto,Alta,Financeiro,Informações sobre multa e juros por atraso,
28,41,2023-10-17,,Em Andamento,Baixa,Financeiro,Solicitação de parcelamento de débitos,
29,16,2023-06-26,2023-06-30,Em Andamento,Média,Financeiro,Informações sobre multa e juros por atraso,
30,18,2023-12-15,,Em Andamento,Baixa,Suporte,Problemas com e-mail corporativo,
31,8,2024-05-08,,Aberto,Média,Suporte,Lentidão em serviços de streaming,
32,50,2024-09-03,2024-09-08,Em Andamento,Média,Suporte,Dificuldade em configurar roteador Wi-Fi,
33,10,2024-04-16,2024-04-19,Fechado,Alta,Suporte,Cliente relata lentidão na conexão,
34,3,2024-09-03,,Fechado,Alta,Financeiro,Solicitação de alteração de data de vencimento,
35,4,2024-08-11,,Aberto,Média,Suporte,Dúvidas sobre segurança da rede,
36,34,2024-09-03,2024-09-06,Fechado,Média,Comercial,Informações sobre cobertura em nova localidade,Confirmada cobertura e agendada instalação para nova localidade
37,42,2023-08-20,2023-08-22,Aberto,Média,Suporte,Solicitação de aumento temporário de velocidade,
38,40,2024-01-30,2024-02-03,Aberto,Baixa,Comercial,Dúvidas sobre prazo de instalação,
39,29,2023-12-16,2023-12-18,Em Andamento,Alta,Suporte,Lentidão em serviços de streaming,
40,14,2024-05-13,2024-05-16,Aberto,Média,Comercial,Solicitação de cancelamento de serviço,
41,15,2024-09-03,,Em Andamento,Baixa,Comercial,Solicitação de cancelamento de serviço,
42,22,2023-11-12,2023-11-16,Aberto,Média,Suporte,Cliente relata lentidão na conexão,
43,35,2024-02-13,2024-02-15,Aberto,Média,Comercial,Solicitação de informações sobre planos empresariais,
44,35,2023-10-24,,Aberto,Média,Comercial,Informações sobre cobertura em nova localidade,
45,38,2023-02-19,2023-02-23,Aberto,Baixa,Suporte,Dificuldade em configurar roteador Wi-Fi,
46,50,2024-09-03,2024-09-05,Aberto,Alta,Suporte,Dúvidas sobre segurança da rede,
47,49,2023-09-23,2023-09-25,Em Andamento,Alta,Comercial,Interesse em serviços de cloud para empresa,
48,45,2024-09-03,2024-09-06,Em Andamento,Baixa,Financeiro,Contestação de valor na fatura,
49,45,2024-09-03,2024-09-10,Em Andamento,Alta,Suporte,Sem conexão à internet,
50,49,2023-12-24,,Fechado,Alta,Financeiro,Solicitação de nota fiscal,Nota fiscal emitida e enviada por e-mail ao cliente
51,28,2024-09-03,2024-09-10,Aberto,Baixa,Comercial,Dúvidas sobre fidelidade contratual,
52,39,2023-11-13,,Em Andamento,Média,Suporte,Reclamação de instabilidade na conexão,
53,7,2023-06-05,2023-06-10,Aberto,Baixa,Financeiro,Dúvidas sobre desconto de pontualidade,
54,27,2023-08-29,2023-08-30,Fechado,Média,Comercial,Dúvidas sobre fidelidade contratual,Cliente compreendeu os termos e decidiu manter o contrato
55,25,2023-12-25,,Aberto,Média,Comercial,Informações sobre cobertura em nova localidade,
56,4,2024-09-03,,Em Andamento,Alta,Suporte,Dúvidas sobre segurança da rede,
57,44,2024-01-10,2024-01-12,Em Andamento,Média,Comercial,Solicitação de informações sobre planos empresariais,
58,36,2024-03-21,,Aberto,Baixa,Financeiro,Solicitação de segunda via de fatura,
59,23,2024-07-24,2024-07-25,Aberto,Baixa,Financeiro,Dúvidas sobre desconto de pontualidade,
60,25,2024-02-04,2024-02-07,Em Andamento,Baixa,Suporte,Problemas de conexão em jogos online,
61,35,2024-06-14,2024-06-20,Em Andamento,Alta,Suporte,Dificuldade em configurar roteador Wi-Fi,
62,13,2024-09-03,2024-09-09,Aberto,Alta,Suporte,Solicitação de suporte para instalação de câmeras IP,
63,7,2023-05-01,2023-05-04,Fechado,Alta,Comercial,Dúvidas sobre fidelidade contratual,
64,33,2024-09-03,2024-09-05,Aberto,Alta,Comercial,Interesse em serviço de IP fixo,
65,22,2024-05-06,2024-05-07,Aberto,Média,Comercial,Interesse em upgrade de plano,
66,48,2024-04-04,2024-04-06,Em Andamento,Alta,Financeiro,Dúvidas sobre fatura mensal,
67,19,2024-09-03,,Fechado,Média,Suporte,Problemas com e-mail corporativo,Corrigidas configurações e e-mail funcionando normalmente
68,12,2024-09-03,2024-09-08,Aberto,Alta,Financeiro,Dúvidas sobre fatura mensal,
69,40,2023-09-24,2023-09-30,Fechado,Baixa,Suporte,Solicitação de suporte para instalação de câmeras IP,Cliente conseguiu configurar as câmeras com o suporte fornecido
70,39,2023-09-14,,Em Andamento,Baixa,Financeiro,Informações sobre métodos de pagamento,
71,33,2024-09-03,2024-09-07,Aberto,Baixa,Suporte,Lentidão em serviços de streaming,
72,11,2024-09-03,2024-09-05,Aberto,Baixa,Suporte,Problemas com e-mail corporativo,
73,36,2024-09-03,,Em Andamento,Alta,Comercial,Solicitação de cancelamento de serviço,
74,1,2024-01-23,2024-01-29,Aberto,Média,Comercial,Solicitação de cancelamento de serviço,
75,40,2023-07-15,2023-07-19,Em Andamento,Média,Financeiro,Dúvidas sobre desconto de pontualidade,
76,14,2024-09-03,2024-09-10,Fechado,Média,Suporte,Solicitação de aumento temporário de velocidade,Realizado upgrade temporário conforme solicitação do cliente
77,3,2024-09-03,,Aberto,Média,Comercial,Informações sobre cobertura em nova localidade,
78,38,2023-07-27,,Aberto,Alta,Financeiro,Dúvidas sobre desconto de pontualidade,
79,32,2023-05-27,,Fechado,Média,Suporte,Dificuldade em configurar roteador Wi-Fi,
80,47,2024-09-03,2024-09-05,Em Andamento,Alta,Comercial,Dúvidas sobre fidelidade contratual,
81,48,2024-09-03,,Em Andamento,Alta,Comercial,Dúvidas sobre prazo de instalação,
82,9,2023-10-27,2023-10-29,Em Andamento,Baixa,Comercial,Dúvidas sobre fidelidade contratual,
83,41,2023-08-22,2023-08-23,Fechado,Baixa,Financeiro,Informações sobre métodos de pagamento,Cliente optou por aderir ao débito automático
84,9,2023-08-29,2023-08-30,Fechado,Baixa,Financeiro,Contestação de valor na fatura,
85,35,2024-08-16,2024-08-23,Aberto,Média,Financeiro,Dúvidas sobre fatura mensal,
86,42,2023-04-06,2023-04-09,Fechado,Baixa,Suporte,Solicitação de suporte para instalação de câmeras IP,Cliente conseguiu configurar as câmeras com o suporte fornecido
87,45,2024-09-03,2024-09-05,Fechado,Alta,Suporte,Cliente relata lentidão na conexão,Problema resolvido após reinicialização do equipamento
88,18,2023-10-03,2023-10-10,Em Andamento,Média,Comercial,Dúvidas sobre fidelidade contratual,
89,33,2024-05-04,2024-05-05,Em Andamento,Baixa,Suporte,Sem conexão à internet,
90,37,2023-08-02,,Em Andamento,Média,Comercial,Solicitação de cancelamento de serviço,
91,42,2023-01-16,2023-01-21,Fechado,Média,Comercial,Dúvidas sobre prazo de instalação,
92,39,2023-01-05,,Em Andamento,Alta,Comercial,Solicitação de informações sobre planos empresariais,
93,43,2024-09-03,2024-09-06,Aberto,Baixa,Suporte,Dificuldade em configurar roteador Wi-Fi,
94,37,2023-03-31,2023-04-03,Aberto,Média,Comercial,Interesse em upgrade de plano,
95,40,2023-09-07,2023-09-09,Em Andamento,Baixa,Comercial,Solicitação de cancelamento de serviço,
96,35,2024-07-22,2024-07-26,Aberto,Média,Comercial,Dúvidas sobre fidelidade contratual,
97,19,2024-02-03,2024-02-05,Fechado,Média,Comercial,Solicitação de proposta para condomínio,
98,28,2024-09-03,,Em Andamento,Baixa,Financeiro,Solicitação de nota fiscal,
99,31,2023-08-11,2023-08-13,Em Andamento,Média,Suporte,Lentidão em serviços de streaming,
100,31,2023-08-19,2023-08-25,Aberto,Alta,Suporte,Problemas de conexão em jogos online,
